DISTRICT,STATEID,DISTID,nlines,lengthlines
Medak,28,4,734,1207845.721
Meerut,9,7,1207,1604663.678
Meghalaya,17,0,1236,3222497.977
Mizoram,15,0,539,2582816.482
Moga,3,10,848,1271670.33
Moradabad,9,4,872,1224124.217
Morena,23,2,1146,1927160.715
Mumbai (suburban),27,23,202,237985.3334
Murshidabad,19,7,1461,2406764.315
Muzaffar Pur,10,14,1252,1767595.226
Muzaffarnagar,9,2,1123,1585558.237
Mysore,29,26,1298,2223247.714
Nabarangapur,21,28,788,1566460.364
Nadia,19,10,1277,1973910.936
Nagaland,13,0,1033,3033986.993
Nagaur,8,14,2936,6248222.162
Nagpur,27,9,2019,3652903.693
Nainital,5,11,379,899352.2363
Nalanda,10,27,1240,1557287.387
Namakkal,33,9,1032,1460746.455
Nanded,27,15,1975,3843121.628
Nandurbar,27,1,908,1834019.557
Narmada,24,19,452,850301.0692
Narmada,24,20,452,850301.0692
Nasik,27,20,2911,5498130.662
Nawanshahr,3,6,378,634151.5737
Nayagarh,21,16,505,877902.0704
Nellore,28,19,2249,4308088.135
New Delhi Municipal Council,7,11,-1,-1
Nizamabad,28,2,825,1423258.502
North 24 Parganas,19,11,997,1689271.436
North Goa,30,1,332,594386.79
Osmanabad,27,29,1322,2638364.018
Palakkad,32,6,599,1141082.531
Palamu,20,2,607,1137394.98
Pali,8,20,1536,3576397.86
Panchkula,6,1,289,396471.8124
Panna,23,10,1021,1972315.678
Parbhani,27,17,1316,2418110.932
Pashchimi Singbhum,20,17,1043,1895127.886
Patan,24,3,1207,2179503.486
Pathanamthitta,32,12,265,566469.8946
Patiala,3,17,1478,2050548.577
Patna,10,28,1140,1688616.577
Perambalur,33,16,435,674497.3945
Pondicherry,34,0,229,208999.7936
Prakasam,28,18,2529,5000615.785
Pulwama,1,5,187,329885.4293
Pune,27,25,3430,5974443.599
Purbi Champaran,10,2,1006,1659859.866
Purbi Singhbhum,20,18,894,1399604.884
Puri,21,18,526,997504.5146
Purnia,10,9,1031,1526267.24
Raichur,29,6,1656,3079372.652
Raigarh,22,4,1574,2631506.549
Raipur,22,11,1528,2514678.263
Rajauri,1,12,387,836398.3602
Rajgarh,23,30,1294,2473052.611
Rajkot,24,9,2785,4997459.463
Rajnandgaon,22,9,1631,2859308.294
Rajsamand,8,25,932,1731463.461
Ramanathapuram,33,27,939,1594342.18
Rampur,9,5,818,1241371.433
Ranchi,20,14,1373,2112022.956
Rangareddi,28,6,1596,2363229.305
Ratlam,23,20,1042,1959907.635
Ratnagiri,27,32,469,1367137.672
Rayagada,21,27,432,1178915.496
Rewari,6,17,491,785876.9716
Rohtas,10,32,1337,1896945.937
Rupnagar,3,7,565,798936.933
Saharanpur,9,1,1262,2001506.949
Saharsa,10,12,534,760926.6877
Sambalpur,21,3,962,1789542.089
Sangrur,3,16,1222,1962259.063
Sant Ravidas Nagar,9,68,530,664694.6072
Saran,10,17,782,1219361.299
Sarguja,22,2,598,1169655.043
Satara,27,31,1886,3559302.434
Satna,23,13,2066,3069015.979
Sawai Madhopur,8,10,1118,1966953.698
Seoni,23,44,1430,2787293.967
Shahdol,23,16,945,1789862.527
Shajapur,23,22,1371,2490138.217
Sharawasti,9,51,446,763184.4123
Sheikhpura,10,26,310,446299.4724
Sheopur,23,1,485,1183306.146
Shimla,2,11,319,795302.7987
Shimoga,29,15,619,1530789.662
Siddharathnagar,9,54,836,1364775.231
Sidhi,23,17,1043,1678127.844
Sikar,8,13,2284,3596034.266
Sikkim,11,0,-1,-1
Sirmaur,2,10,230,631461.1208
Sitapur,9,24,1656,2687501.65
Sivaganga,33,23,970,1567531.076
Siwan,10,16,708,1108293.039
Solan,2,9,381,667689.5628
Solapur,27,30,3302,5802393.885
Sonapur,21,23,528,887204.0113
Sonipat,6,8,711,1133216.84
South 24 Parganas,19,18,1526,2407518.792
South Goa,30,2,216,471297.747
Srinagar,1,3,96,169745.071
Sultanpur,9,49,1169,1587357.267
Sundargarh,21,5,1224,2378874.279
Supaul,10,6,632,1060484.134
Surat,24,22,1533,2129265.962
Surendranagar,24,8,1263,2877624.774
Thane,27,21,1960,3316651.608
Theni,33,25,452,786561.3021
Thiruvallur,33,1,1259,1675172.175
Thiruvananthapuram,32,14,352,665738.0061
Thoothukkudi,33,28,1207,1989275.551
Thrissur,32,7,494,878609.1977
Tikamgarh,23,8,895,1525901.526
Tinsukia,18,14,388,893065.8111
Tiruchchirappalli,33,15,1150,1811905.895
Tirunelveli,33,29,2002,2717745.136
Tiruvannamalai,33,6,1427,2331121.849
Tripura,16,0,1604,3042869.281
Tumkur,29,18,2583,4239587.878
Udaipur,8,26,1565,3253328.869
Udham Singh Nagar,5,12,787,1226887.076
Udupi,29,16,255,637629.2488
Ujjain,23,21,1458,2567931.551
Umaria,23,15,556,1187299.424
Uttar Dinajpur,19,4,930,1475748.625
Uttar Kannad,29,10,527,1506795.044
Vadodara,24,19,1999,3275916.01
Varanasi,9,67,817,1025789.167
Vellore,33,4,1381,2210514.543
Visakhapatnam,28,13,1708,3145576.085
Wardha,27,8,1540,2561966.232
Washim,27,6,1119,2070277.903
West Godavari,28,15,1531,2831791.418
West Nimar,23,27,1380,2745895.216
Yamunanagar,6,3,737,1049637.081
Yavatmal,27,14,2736,4965201.663
