Name,NVillages_Inhabited,Nvillages_Uninhabited,NTowns,NHHs,NMales,Nfemales,Area_sq_km
Mahbubnagar,1465,72,18,869451,2050386,2002642,18432
Mahesana,597,9,10,424479,1056520,978544,4401
Malappuram,83,0,44,793999,1960328,2152592,3554
Maldah,1613,158,29,846991,2051541,1937304,3733
Malkangiri,995,60,3,137599,303624,309568,5791
Mandi,2850,488,5,219145,498065,501712,3950
Mandla,1203,18,8,250146,525272,529633,5800
Mandya,1368,109,9,428625,905085,900684,4962
Manipur,2515,67,51,557859,1438586,1417208,22327
Marigaon,598,34,6,184602,486651,470772,1551
Mathura,730,144,25,423125,1367125,1180059,3340
Mau,1499,111,14,324424,1114709,1091259,1713
Mayurbhanj,3751,199,5,586253,1256213,1263525,10418
Medak,1201,30,24,668626,1523030,1510258,9699
Meerut,604,59,18,579110,1825743,1617946,2559
Meghalaya,5880,324,20,501187,1359301,1348748,19981
Mizoram,704,126,23,222853,555339,541867,21081
Moga,319,6,5,193256,525920,469826,2242
Moradabad,1550,243,17,796170,2503186,2268820,3718
Morena,775,40,9,362646,1068417,897553,4989
Mumbai (suburban),0,0,1,2105604,5031323,4325639,446
Murshidabad,1886,280,72,1570759,3627564,3476243,5324
Muzaffar Pur,1719,67,9,945703,2527497,2273565,3172
Muzaffarnagar,880,139,27,676642,2193434,1950078,4008
Mysore,1199,137,19,700968,1511600,1489527,6307
Nabarangapur,868,23,5,273423,604812,616134,5291
Nadia,1216,91,65,1232282,2653768,2513832,3927
Nagaland,1400,28,26,396002,1024649,953853,16579
Nagaur,1575,14,18,578809,1696325,1611418,17718
Nagpur,1617,242,41,1041544,2384975,2268595,9892
Nainital,1097,44,11,191383,493666,460939,4251
Nalanda,1003,52,6,477529,1497060,1380593,2355
Namakkal,362,27,34,475511,869280,857321,3420
Nanded,1541,62,17,665434,1730075,1631217,10528
Nandurbar,930,13,9,323521,833170,815125,5955
Narmada,558,51,5,122174,301086,289211,2817
Nasik,1919,3,25,1222887,3157186,2950001,15530
Nawanshahr,458,10,8,129500,313291,299019,1282
Nayagarh,1541,151,9,228315,502636,460153,3890
Nellore,1093,84,10,776854,1492974,1470583,13076
Nizamabad,847,65,8,593234,1250641,1300694,7956
North 24 Parganas,1518,9,107,2348683,5119389,4890392,4094
North Goa,188,6,47,191766,416677,401331,1736
Osmanabad,728,5,8,351281,861535,796041,7569
Palakkad,131,0,21,637220,1359478,1450456,4482
Palamu,1711,159,9,358754,1006302,933567,4393
Pali,1017,13,11,418157,1025422,1012151,12387
Panchkula,206,13,8,117107,299679,261614,898
Panna,947,64,6,228709,533480,483040,7135
Parbhani,830,13,8,361130,942870,893216,6214
Pashchimi Singbhum,1642,31,11,302046,749385,752953,7224
Patan,517,0,6,267633,694397,649337,5792
Pathanamthitta,64,0,4,322684,561716,635696,2652
Patiala,895,17,12,372293,1002522,893164,3325
Patna,1264,124,22,975578,3078512,2759953,3202
Perambalur,147,12,5,149243,282157,283066,1756
Pondicherry,62,0,6,231513,468258,482031,294
Prakasam,985,96,13,860463,1714764,1682684,17626
Pulwama,319,10,5,86241,293064,267376,1086
Pune,1852,25,35,2151503,4924105,4505303,15643
Purbi Champaran,1252,41,10,981516,2681209,2418162,3968
Purbi Singhbhum,1609,139,15,476931,1176902,1117017,3562
Puri,1600,107,6,367269,865380,833350,3479
Purnia,1113,160,3,647777,1699370,1565249,3229
Raichur,815,69,9,363853,964511,964301,8442
Raigarh,1860,49,42,611790,1344345,1289855,7152
Raipur,2094,55,26,871225,2048186,2015686,12383
Rajauri,375,10,4,130401,345351,297064,2630
Rajgarh,1677,51,13,345297,790212,755602,6153
Rajkot,833,2,23,786586,1974445,1830113,11198
Rajnandgaon,1600,53,8,318488,762855,774278,8070
Rajsamand,1037,13,9,243078,581339,575258,4655
Ramanathapuram,383,10,17,323905,682658,670787,4104
Rampur,1108,55,10,393736,1223889,1111930,2367
Ranchi,1296,15,15,569444,1494937,1419316,5097
Rangareddi,817,53,24,1235341,2701008,2595733,7493
Ratlam,1053,16,10,296683,738241,716828,4861
Ratnagiri,1531,6,16,397115,761121,853948,8208
Rayagada,2468,197,7,226144,471960,495951,7073
Rewari,389,14,9,178043,474335,425997,1594
Rohtas,1717,355,10,460345,1543546,1416372,3881
Rupnagar,591,20,8,135635,357485,327142,1356
Saharanpur,1243,329,16,597656,1834106,1632276,3689
Saharsa,445,23,1,368979,997174,903487,1687
Sambalpur,1229,84,6,249597,526877,514222,6624
Sangrur,564,7,13,318870,878029,777140,3625
Sant Ravidas Nagar,1087,130,11,222403,807099,771114,1015
Saran,1570,194,6,631097,2022821,1929041,2641
Sarguja,1746,4,16,526049,1193129,1166757,15732
Satara,1719,26,22,653735,1510842,1492899,10480
Satna,1799,185,13,478741,1157495,1071440,7502
Sawai Madhopur,758,56,4,254716,704031,631520,4498
Seoni,1579,8,6,314767,695879,683252,8758
Shahdol,814,30,8,251452,540021,526042,6205
Shajapur,1071,36,13,300025,780520,732161,6195
Sharawasti,509,32,2,188289,593897,523464,1640
Sheikhpura,261,53,2,100701,329743,306599,689
Sheopur,516,66,3,146043,361784,326077,6606
Shimla,2705,526,11,184362,425039,388971,5131
Shimoga,1444,86,9,406816,877415,875338,8478
Siddharathnagar,2336,169,8,379351,1295095,1264202,2895
Sidhi,1025,30,4,238448,575912,551121,4851
Sikar,1162,5,15,444816,1374990,1302343,7732
Sirmaur,968,8,3,98208,276289,253566,2825
Sitapur,2317,31,12,801764,2375264,2108728,5743
Sivaganga,508,7,16,338938,668672,670429,4233
Siwan,1435,95,3,535661,1675090,1655374,2219
Solan,2383,161,8,122425,308754,271566,1936
Solapur,1143,11,13,873167,2227852,2089904,14895
Sonapur,856,106,4,151136,311312,298871,2337
Sonipat,319,13,8,277726,781299,668702,2122
South 24 Parganas,1994,48,118,1781221,4173778,3988183,9960
South Goa,132,8,23,151845,322463,318074,1966
Srinagar,11,0,5,191678,651124,585705,1979
Sultanpur,2498,29,11,623523,1914586,1882531,4436
Sundargarh,1713,49,14,479109,1061147,1032290,9712
Supaul,526,25,3,443073,1155283,1073793,2425
Surat,690,23,22,1333200,3402224,2679098,4549
Surendranagar,647,4,9,343213,909917,846351,10423
Thane,1704,17,51,2529165,5865078,5195070,9558
Theni,80,18,28,338112,625683,620216,2868
Thiruvallur,582,35,58,946949,1876062,1852042,3394
Thiruvananthapuram,68,0,31,837877,1581678,1719749,2189
Thoothukkudi,432,7,35,462010,865021,885155,4745
Thrissur,98,0,135,759210,1480763,1640437,3027
Tikamgarh,878,85,13,296116,760355,684811,5048
Tinsukia,1136,32,13,268598,680231,647698,3790
Tiruchchirappalli,431,40,31,698404,1352284,1370006,4509
Tirunelveli,430,35,53,815528,1520912,1556321,6693
Tiruvannamalai,1039,56,22,588836,1235889,1228986,6188
Tripura,863,12,42,855556,1874376,1799541,10486
Tumkur,2582,133,12,640081,1350594,1328386,10597
Udaipur,2471,8,17,623531,1566801,1501619,11724
Udham Singh Nagar,674,14,19,308581,858783,790119,2542
Udupi,233,0,20,253078,562131,615230,3582
Ujjain,1095,6,9,391438,1016289,970575,6091
Umaria,594,59,7,145024,330674,314084,4076
Uttar Dinajpur,1475,19,9,605674,1551066,1456068,3140
Uttar Kannad,1243,46,18,324530,726256,710913,10277
Vadodara,1533,4,25,877106,2153736,2011890,7546
Varanasi,1258,37,39,560162,1921857,1754984,1535
Vellore,763,95,72,929281,1961688,1974643,6075
Visakhapatnam,3072,193,15,1097042,2138910,2151679,11161
Wardha,973,403,13,309846,668385,632389,6309
Washim,698,91,4,259464,620302,576858,4901
West Godavari,842,39,13,1091525,1964918,1972048,7742
West Nimar,1194,223,11,367988,953121,919925,8025
Yamunanagar,611,25,12,235423,646718,567487,1768
Yavatmal,1853,284,18,646886,1419965,1352383,13582
