stateid,distid,nmales,nfemales,area_sqkm,nlines,lengthlines
29,11,819128,778540,4823,823,1647083.519
29,12,1236954,1215641,8461,1470,2768095.701
29,13,840843,818613,8436,1854,3148050.18
29,14,986400,959097,5924,1176,2126951.171
29,15,877415,875338,8478,619,1530789.662
29,16,562131,615230,3582,255,637629.2488
29,17,566622,571339,7202,661,1410611.256
29,18,1350594,1328386,10597,2583,4239587.878
29,19,776396,760005,3979,1055,1643780.511
29,20,5022661,4598890,2196,860,1164477.868
29,21,509172,481751,2298,711,1002245.342
29,22,905085,900684,4962,1185,1936718.434
29,25,274608,279911,4102,152,497896.8233
29,26,1511600,1489527,6307,1298,2223247.714
29,27,512231,508560,5648,812,1388900.3
29,29,1034714,1054935,4861,346,902536.9977
30,1,416677,401331,1736,332,594386.79
30,2,322463,318074,1966,216,471297.747
32,2,1181446,1341557,2961,284,694029.7739
32,4,1470942,1615351,2345,261,624291.1637
32,5,1960328,2152592,3554,337,792530.0808
32,6,1359478,1450456,4482,599,1141082.531
32,7,1480763,1640437,3027,494,878609.1977
32,8,1619557,1662831,3063,465,925088.1967
32,9,552808,556166,4356,420,928765.2968
32,10,968289,1006262,2206,290,629198.9783
32,11,1013142,1114647,1415,232,429069.4262
32,12,561716,635696,2652,265,566469.8946
32,13,1246968,1388407,2483,388,755040.8146
32,14,1581678,1719749,2189,352,665738.0061
33,1,1876062,1852042,3394,1259,1675172.175
33,2,2335844,2310888,175,72,90125.76283
33,3,2012958,1985294,4483,1653,2299674.204
33,4,1961688,1974643,6075,1381,2210514.543
33,5,774303,732540,4497,1088,1583296.512
33,6,1235889,1228986,6188,1427,2331121.849
33,9,869280,857321,3420,1032,1460746.455
33,10,1129868,1121876,5760,1351,1903613.005
33,12,1729297,1728748,4732,1215,1830209.578
33,13,1080938,1078837,6036,1400,2106573.51
33,15,374703,380191,1940,440,780953.4445
33,15,528184,536309,2904,918,1325236.876
33,15,1352284,1370006,4509,1150,1811905.895
33,16,282157,283066,1756,435,674497.3945
33,23,668672,670429,4233,970,1567531.076
33,24,1526475,1511777,3710,1135,1586513.854
33,25,625683,620216,2868,452,786561.3021
33,27,682658,670787,4104,939,1594342.18
33,28,865021,885155,4745,1207,1989275.551
33,29,1520912,1556321,6693,2002,2717745.136
33,30,926345,944029,1684,283,481723.1357
34,0,612511,635442,490,229,208999.7936
